flight.identification.id,flight.identification.row,flight.identification.number.default,flight.identification.number.alternative,flight.identification.callsign,flight.identification.codeshare,flight.status.live,flight.status.text,flight.status.icon,flight.status.estimated,flight.status.ambiguous,flight.status.generic.status.text,flight.status.generic.status.type,flight.status.generic.status.color,flight.status.generic.status.diverted,flight.status.generic.eventTime.utc,flight.status.generic.eventTime.local,flight.aircraft.model.code,flight.aircraft.model.text,flight.aircraft.registration,flight.aircraft.country.id,flight.aircraft.country.name,flight.aircraft.country.alpha2,flight.aircraft.country.alpha3,flight.aircraft.hex,flight.aircraft.restricted,flight.aircraft.serialNo,flight.aircraft.age.availability,flight.aircraft.availability.serialNo,flight.aircraft.availability.age,flight.owner.name,flight.owner.code.iata,flight.owner.code.icao,flight.owner.logo,flight.airline.name,flight.airline.code.iata,flight.airline.code.icao,flight.airline.short,flight.airport.origin.code.iata,flight.airport.origin.code.icao,flight.airport.origin.timezone.name,flight.airport.origin.timezone.offset,flight.airport.origin.timezone.abbr,flight.airport.origin.timezone.abbrName,flight.airport.origin.timezone.isDst,flight.airport.origin.info.terminal,flight.airport.origin.info.baggage,flight.airport.origin.info.gate,flight.airport.origin.name,flight.airport.origin.position.latitude,flight.airport.origin.position.longitude,flight.airport.origin.position.country.name,flight.airport.origin.position.country.code,flight.airport.origin.position.country.id,flight.airport.origin.position.region.city,flight.airport.origin.visible,flight.airport.destination.timezone.name,flight.airport.destination.timezone.offset,flight.airport.destination.timezone.abbr,flight.airport.destination.timezone.abbrName,flight.airport.destination.timezone.isDst,flight.airport.destination.info.terminal,flight.airport.destination.info.baggage,flight.airport.destination.info.gate,flight.airport.real,flight.time.scheduled.departure,flight.time.scheduled.arrival,flight.time.real.departure,flight.time.real.arrival,flight.time.estimated.departure,flight.time.estimated.arrival,flight.time.other.eta,flight.time.other.duration,flight.aircraft.images,flight.owner
,5431476195,X98524,4X8524,NVD8524,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A320,Airbus A320-232,9H-MLY,136.0,Malta,MT,MLT,4D2476,False,,True,True,True,Avion Express Malta,4X,MLH,,Avion Express,X9,NVD,Avion Express,AYT,LTAI,Europe/Istanbul,10800,+03,,False,2,,,Antalya Airport,36.898731,30.800461,Turkey,TR,228,Antalya,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1698998400,1699011600,,,1698999720.0,,,,,
,5431356778,LO771,,,['LY9731'],False,Scheduled,,,False,scheduled,arrival,gray,,,,E90,,,,,,,,,,,,,,,,,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699009200,1699013100,,,,,,,,
,5431303450,FR3466,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,LTN,EGGW,Europe/London,0,GMT,Greenwich Mean Time,False,,,,London Luton Airport,51.874722,-0.36833,United Kingdom,GB,235,London,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699003800,1699013400,,,1699003800.0,,,,,
,5431350523,LH886,,,"['A31460', 'AC9507', 'NH6120', 'SN7093', 'UA9118']",False,Scheduled,,,False,scheduled,arrival,gray,,,,A320,Airbus A320-211,D-AIQT,83.0,Germany,DE,DEU,3C6634,False,,True,True,True,Lufthansa,LH,DLH,s3:LH_DLH.png,Lufthansa,LH,DLH,Lufthansa,FRA,EDDF,Europe/Berlin,3600,CET,Central European Time,False,1,,A2,Frankfurt Airport,50.037796,8.555783,Germany,DE,83,Frankfurt,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699006500,1699014000,,,,,,,,
,5431471119,W68064,W48064,WZZ4FX,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A320,Airbus A320-232,9H-WZT,136.0,Malta,MT,MLT,4D24C5,False,,True,True,True,Wizz Air Malta,W4,WMT,s3:_WMT.png,Wizz Air,W6,WZZ,Wizz Air,BCN,LEBL,Europe/Madrid,3600,CET,Central European Time,False,2,,,Barcelona El Prat Airport,41.29707,2.078463,Spain,ES,209,Barcelona,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699001700,1699014900,,,1699002600.0,,,,,
,5431254258,BT345,,,['AF7977'],False,Scheduled,,,False,scheduled,arrival,gray,,,,223,,,,,,,,,,,,,,,,,Air Baltic,BT,BTI,Air Baltic,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699012200,1699015200,,,,,,,,
,5431471113,W68044,W48044,WZZ6117,,False,Scheduled,,,False,scheduled,arrival,gray,,,,A320,Airbus A320-232,9H-WZU,136.0,Malta,MT,MLT,4D24C3,False,,True,True,True,Wizz Air Malta,W4,WMT,s3:_WMT.png,Wizz Air,W6,WZZ,Wizz Air,LCA,LCLK,Asia/Nicosia,7200,EET,Eastern European Time,False,,,,Larnaca International Airport,34.875111,33.624851,Cyprus,CY,58,Larnaca,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699001100,1699015800,,,1699002000.0,,,,,
,5431356793,LO779,,,['TP7109'],False,Scheduled,,,False,scheduled,arrival,gray,,,,E90,,,,,,,,,,,,,,,,,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699017000,1699020900,,,,,,,,
,5431302484,FR1502,RR1502,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,OSL,ENGM,Europe/Oslo,3600,CET,Central European Time,False,,,,Oslo Gardermoen Airport,60.193909,11.10036,Norway,NO,165,Oslo,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699014900,1699021800,,,1699014900.0,,,,,
,5431303173,FR2872,MAY2872,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,7M8,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,BGY,LIME,Europe/Rome,3600,CET,Central European Time,False,,,,Milan Bergamo Orio al Serio International Airport,45.668304,9.704209,Italy,IT,109,Milan,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699015800,1699024800,,,1699015800.0,,,,,
,5431410838,SK740,EE740,SAS740,,False,Scheduled,,,False,scheduled,arrival,gray,,,,CRJ9,Mitsubishi CRJ-900LR,ES-ACM,70.0,Estonia,EE,EST,5110F3,False,,True,True,True,Xfly,EE,EST,s3:EE_EST.png,SAS,SK,SAS,SAS,ARN,ESSA,Europe/Stockholm,3600,CET,Central European Time,False,5,,,Stockholm Arlanda Airport,59.653545,17.939816,Sweden,SE,215,Stockholm,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699020000,1699025100,,,1699020900.0,,,,,
,5431304628,FR6872,MAY6872,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,FCO,LIRF,Europe/Rome,3600,CET,Central European Time,False,1,,,Rome Leonardo da Vinci Fiumicino Airport,41.80447,12.25079,Italy,IT,109,Rome,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699015200,1699025700,,,,,,,,
,5431241431,AY1105,N71105,,"['AA8980', 'BA6063', 'IB371', 'JL6873', 'QR6151', 'TK8788']",False,Scheduled,,,False,scheduled,arrival,gray,,,,AT75,ATR 72-500,OH-ATN,75.0,Finland,FI,FIN,4601FB,False,,True,True,True,NORRA,N7,FCM,s3:FC_FCM.png,Finnair,AY,FIN,Finnair,HEL,EFHK,Europe/Helsinki,7200,EET,Eastern European Time,False,2,,,Helsinki Vantaa Airport,60.325657,24.968779,Finland,FI,75,Helsinki,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699021800,1699028100,,,,,,,,
,5431303835,FR4479,RR4479,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,NUE,EDDN,Europe/Berlin,3600,CET,Central European Time,False,,,,Nuremberg Airport,49.498699,11.06689,Germany,DE,83,Nuremberg,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699021800,1699028700,,,1699021800.0,,,,,
,5431356788,LO775,,,['LY9733'],False,Scheduled,,,False,scheduled,arrival,gray,,,,E70,,,,,,,,,,,,,,,,,LOT,LO,LOT,LOT,WAW,EPWA,Europe/Warsaw,3600,CET,Central European Time,False,,,,Warsaw Chopin Airport,52.165749,20.967119,Poland,PL,176,Warsaw,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699025100,1699029000,,,,,,,,
,5431471110,W68026,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Wizz Air,W6,WZZ,Wizz Air,EIN,EHEH,Europe/Amsterdam,3600,CET,Central European Time,False,,,,Eindhoven Airport,51.45013,5.374528,Netherlands,NL,155,Eindhoven,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699022400,1699030500,,,,,,,,
,5431433439,TK1409,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,7M9,,,,,,,,,,,,,,,,,Turkish Airlines,TK,THY,Turkish Airlines,IST,LTFM,Europe/Istanbul,10800,+03,,False,,,,Istanbul Airport,41.267052,28.729757,Turkey,TR,228,Istanbul,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699020300,1699031100,,,1699020300.0,,,,,
,5431254265,BT347,,,"['AZ4091', 'EK3505']",False,Scheduled,,,False,scheduled,arrival,gray,,,,223,,,,,,,,,,,,,,,,,Air Baltic,BT,BTI,Air Baltic,RIX,EVRA,Europe/Riga,7200,EET,Eastern European Time,False,,,,Riga International Airport,56.923611,23.971109,Latvia,LV,121,Riga,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699033800,1699036800,,,,,,,,
,5433558324,X98002,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Avion Express,X9,NVD,Avion Express,TFS,GCTS,Atlantic/Canary,0,WET,Western European Time,False,,,,Tenerife South Airport,28.04447,-16.572399,Spain,ES,209,Tenerife,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699014600,1699037400,,,,,,,,
,5431536471,W2302,X9302,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,320,,,,,,,,,,,,,,,,,Flexflight,W2,FXT,Flexflight,TFS,GCTS,Atlantic/Canary,0,WET,Western European Time,False,,,,Tenerife South Airport,28.04447,-16.572399,Spain,ES,209,Tenerife,True,Europe/Vilnius,7200,EET,Eastern European Time,False,,,,,1699016100,1699038900,,,,,,,,
,5431254459,BT966,,,['AF7986'],False,Scheduled,,,False,scheduled,arrival,gray,,,,223,,,,,,,,,,,,,,,,,Air Baltic,BT,BTI,Air Baltic,CDG,LFPG,Europe/Paris,3600,CET,Central European Time,False,2B,,,Paris Charles de Gaulle Airport,49.012516,2.555752,France,FR,76,Paris,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699031100,1699040700,,,,,,,,
,5431254462,BT984,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,223,,,,,,,,,,,,,,,,,Air Baltic,BT,BTI,Air Baltic,TFS,GCTS,Atlantic/Canary,0,WET,Western European Time,False,,,,Tenerife South Airport,28.04447,-16.572399,Spain,ES,209,Tenerife,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699019100,1699041300,,,,,,,,
,5431304704,FR7139,,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,DUB,EIDW,Europe/Dublin,0,GMT,Greenwich Mean Time,False,1,,112,Dublin Airport,53.421379,-6.27,Ireland,IE,106,Dublin,True,Europe/Vilnius,7200,EET,Eastern European Time,False,C,,,,1699031700,1699042800,,,1699031700.0,,,,,
,5431302523,FR1570,RR1570,,,False,Scheduled,,,False,scheduled,arrival,gray,,,,73H,,,,,,,,,,,,,,,,,Ryanair,FR,RYR,Ryanair,BER,EDDB,Europe/Berlin,3600,CET,Central European Time,False,2,,,Berlin Brandenburg Airport,52.362877,13.503722,Germany,DE,83,Berlin,True,Europe/Vilnius,7200,EET,Eastern European Time,False,A,,,,1699037700,1699043400,,,1699037700.0,,,,,
