flight.status.generic.status.type,flight.identification.number.default,flight.identification.callsign,flight.aircraft.model.text,flight.aircraft.country.name,flight.airline.short,flight.airport.origin.position.region.city,final_time,flight.airport.destination.position.region.city
arrival,,GJT5XG,Boeing 737-83N,Lithuania,Getjet Airlines,Tenerife,2023-11-11 03:15:00,
departure,U57131,SEU7131,Boeing 737-8KN,Malta,SkyUp Airlines,,2023-11-11 04:05:00,Sharm el-Sheikh
departure,BT350,,,,Air Baltic,,2023-11-11 05:30:00,Riga
departure,FR7233,,,,Ryanair,,2023-11-11 05:45:00,Paris
departure,,GJT25H,Boeing 737-8FE,Lithuania,Getjet Airlines,,2023-11-11 05:45:00,Antalya
departure,W68051,,,,Wizz Air,,2023-11-11 06:00:00,Milan
departure,X98701,,,,Avion Express,,2023-11-11 06:00:00,Hurghada
departure,W68001,,,,Wizz Air,,2023-11-11 06:10:00,London
departure,LO774,,,,LOT,,2023-11-11 06:20:00,Warsaw
departure,SK743,SAS743,Mitsubishi CRJ-900LR,Estonia,SAS,,2023-11-11 06:25:00,Copenhagen
departure,FR1805,,,,Ryanair,,2023-11-11 06:30:00,Tel Aviv
departure,W68081,,,,Wizz Air,,2023-11-11 06:40:00,Rome
departure,LH889,,,,Lufthansa,,2023-11-11 06:45:00,Frankfurt
departure,SK1741,SAS93C,Mitsubishi CRJ-900ER,Estonia,SAS,,2023-11-11 07:00:00,Stockholm
arrival,TK6577,,,,Turkish Airlines,Istanbul,2023-11-11 07:35:00,
departure,BT961,,,,Air Baltic,,2023-11-11 07:50:00,Amsterdam
arrival,BT341,,,,Air Baltic,Riga,2023-11-11 08:15:00,
departure,BT342,,,,Air Baltic,,2023-11-11 08:55:00,Riga
departure,LO780,,,,LOT,,2023-11-11 09:00:00,Warsaw
arrival,AY1101,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-11 09:20:00,
arrival,LO777,,,,LOT,Warsaw,2023-11-11 09:25:00,
departure,TK6577,,,,Turkish Airlines,,2023-11-11 09:35:00,Prague
departure,AY1102,,ATR 72-500,Finland,Finnair,,2023-11-11 09:50:00,Helsinki
departure,LO778,,,,LOT,,2023-11-11 10:05:00,Warsaw
departure,GW3001,GJT3001,Boeing 737-83N,Lithuania,Getjet Airlines,,2023-11-11 10:20:00,Marsa Alam
arrival,FR7203,,,,Ryanair,Malta,2023-11-11 10:20:00,
departure,FR7204,,,,Ryanair,,2023-11-11 10:45:00,Malta
arrival,TK1407,,,,Turkish Airlines,Istanbul,2023-11-11 11:05:00,
arrival,FR543,,,,Ryanair,London,2023-11-11 11:10:00,
departure,FR542,,,,Ryanair,,2023-11-11 11:35:00,London
arrival,FR7234,,,,Ryanair,Paris,2023-11-11 11:40:00,
departure,TK1408,,,,Turkish Airlines,,2023-11-11 12:00:00,Istanbul
arrival,LYF278,LYF278,,,Lithuania - Air Force,Rzeszow,2023-11-11 12:08:00,
