,flight.status.generic.status.type,flight.identification.number.default,flight.identification.callsign,flight.aircraft.model.text,flight.aircraft.country.name,flight.airline.short,flight.airport.origin.position.region.city,final_time,flight.airport.destination.position.region.city
23,arrival,SK742,SAS742,Mitsubishi CRJ-900LR,Estonia,SAS,Copenhagen,2023-11-08 23:35:00,
24,arrival,LH888,DLH888,Airbus A321-231,Germany,Lufthansa,Frankfurt,2023-11-08 23:45:00,
25,arrival,W68046,WZZ84SK,Airbus A320-232,Malta,Wizz Air,Kutaisi,2023-11-08 23:55:00,
25,departure,BT997,BTI997,Airbus A220-300,Latvia,Air Baltic,,2023-11-08 23:55:00,Dubai
26,arrival,BT349,BTI3LR,Airbus A220-300,Latvia,Air Baltic,Riga,2023-11-08 23:59:00,
27,arrival,LO773,,,,LOT,Warsaw,2023-11-09 01:00:00,
28,arrival,,AXY770C,Embraer EMB-135B Legacy,Malta,,Venice,2023-11-09 01:09:00,
29,arrival,,GJT9PV,Boeing 737-8FE,Lithuania,Getjet Airlines,Sharm el-Sheikh,2023-11-09 01:12:00,
30,arrival,W68064,WZZ4FX,Airbus A320-232,Malta,Wizz Air,Barcelona,2023-11-09 01:25:00,
31,arrival,W68052,WZZ731,Airbus A320-232,Malta,Wizz Air,Milan,2023-11-09 01:40:00,
32,arrival,HN2356,HST2356,Airbus A320-214,Malta,Valletta Airlines,Antalya,2023-11-09 02:18:00,
27,departure,BT350,,,,Air Baltic,,2023-11-09 05:30:00,Riga
26,departure,,GJT25H,Boeing 737-83N,Lithuania,Getjet Airlines,,2023-11-09 05:35:00,Antalya
28,departure,X98523,,,,Avion Express,,2023-11-09 05:45:00,Antalya
30,departure,W68051,,,,Wizz Air,,2023-11-09 06:00:00,Milan
29,departure,FR1501,,,,Ryanair,,2023-11-09 06:00:00,Oslo
32,departure,W68089,,,,Wizz Air,,2023-11-09 06:10:00,Reykjavik
33,departure,FR6873,,,,Ryanair,,2023-11-09 06:15:00,Rome
34,departure,LO774,,,,LOT,,2023-11-09 06:20:00,Warsaw
35,departure,SK743,SAS743,Mitsubishi CRJ-900ER,Estonia,SAS,,2023-11-09 06:25:00,Copenhagen
36,departure,LH889,,,,Lufthansa,,2023-11-09 06:45:00,Frankfurt
37,departure,W68081,,,,Wizz Air,,2023-11-09 06:45:00,Rome
38,departure,SK1741,SAS93C,Mitsubishi CRJ-900LR,Estonia,SAS,,2023-11-09 07:00:00,Stockholm
31,departure,X98701,,,,Avion Express,,2023-11-09 07:30:00,Hurghada
39,departure,X98701,,,,Avion Express,,2023-11-09 07:30:00,Hurghada
40,departure,BT961,,,,Air Baltic,,2023-11-09 07:50:00,Amsterdam
33,arrival,BT904,,,,Air Baltic,Tallinn,2023-11-09 08:10:00,
34,arrival,BT341,,,,Air Baltic,Riga,2023-11-09 08:15:00,
41,departure,BT903,,,,Air Baltic,,2023-11-09 08:50:00,Tallinn
42,departure,BT342,,,,Air Baltic,,2023-11-09 08:55:00,Riga
35,arrival,AY1101,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-09 09:20:00,
36,arrival,LO777,,,,LOT,Warsaw,2023-11-09 09:25:00,
43,departure,AY1102,,ATR 72-500,Finland,Finnair,,2023-11-09 09:50:00,Helsinki
44,departure,LO778,,,,LOT,,2023-11-09 10:05:00,Warsaw
37,arrival,FR1502,,,,Ryanair,Oslo,2023-11-09 10:25:00,
38,arrival,SK744,SAS744,Mitsubishi CRJ-900ER,Estonia,SAS,Copenhagen,2023-11-09 10:35:00,
39,arrival,TK1407,,,,Turkish Airlines,Istanbul,2023-11-09 11:05:00,
46,departure,FR542,,,,Ryanair,,2023-11-09 11:15:00,London
45,departure,SK745,SAS745,Mitsubishi CRJ-900ER,Estonia,SAS,,2023-11-09 11:20:00,Copenhagen
47,departure,TK1408,,,,Turkish Airlines,,2023-11-09 12:00:00,Istanbul
40,arrival,W68052,,,,Wizz Air,Milan,2023-11-09 12:00:00,
41,arrival,DY1082,,,,Norwegian,Oslo,2023-11-09 12:30:00,
42,arrival,FR6872,,,,Ryanair,Rome,2023-11-09 12:40:00,
43,arrival,W68082,,,,Wizz Air,Rome,2023-11-09 12:50:00,
44,arrival,AY1103,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-09 12:55:00,
48,departure,DY1083,,,,Norwegian,,2023-11-09 13:10:00,Oslo
49,departure,AY1104,,ATR 72-500,Finland,Finnair,,2023-11-09 13:25:00,Helsinki
45,arrival,,GJT9NV,Boeing 737-83N,Lithuania,Getjet Airlines,Antalya,2023-11-09 13:30:00,
46,arrival,BT962,,,,Air Baltic,Amsterdam,2023-11-09 13:35:00,
50,departure,W68083,,,,Wizz Air,,2023-11-09 13:35:00,Malaga
48,arrival,LX1340,,,,Swiss,Zurich,2023-11-09 13:40:00,
47,arrival,FR2872,,,,Ryanair,Milan,2023-11-09 13:40:00,
49,arrival,X98524,,,,Avion Express,Antalya,2023-11-09 13:50:00,
51,departure,FR2871,,,,Ryanair,,2023-11-09 14:05:00,Milan
50,arrival,LO771,,,,LOT,Warsaw,2023-11-09 14:05:00,
51,arrival,LH886,,,,Lufthansa,Frankfurt,2023-11-09 14:15:00,
53,departure,LX1341,,,,Swiss,,2023-11-09 14:25:00,Zurich
52,departure,BT921,,,,Air Baltic,,2023-11-09 14:25:00,Berlin
52,arrival,BT998,,,,Air Baltic,Dubai,2023-11-09 14:35:00,
53,arrival,BT345,,,,Air Baltic,Riga,2023-11-09 14:40:00,
54,departure,LO772,,,,LOT,,2023-11-09 14:45:00,Warsaw
55,departure,LH887,,,,Lufthansa,,2023-11-09 15:00:00,Frankfurt
54,arrival,SK1742,,,,SAS,Copenhagen,2023-11-09 15:10:00,
56,departure,BT346,,,,Air Baltic,,2023-11-09 15:20:00,Riga
55,arrival,W68090,,,,Wizz Air,Reykjavik,2023-11-09 15:20:00,
57,departure,SK1743,,,,SAS,,2023-11-09 15:45:00,Copenhagen
59,departure,W68021,,,,Wizz Air,,2023-11-09 16:15:00,Paris
58,departure,FR1787,,,,Ryanair,,2023-11-09 16:15:00,Barcelona
56,arrival,LO779,,,,LOT,Warsaw,2023-11-09 16:15:00,
57,arrival,X98702,,,,Avion Express,Hurghada,2023-11-09 16:45:00,
60,departure,LO273,,,,LOT,,2023-11-09 17:00:00,London
61,departure,BT925,,,,Air Baltic,,2023-11-09 17:10:00,Munich
58,arrival,FR543,,,,Ryanair,London,2023-11-09 17:15:00,
59,arrival,SK740,,,,SAS,Stockholm,2023-11-09 17:25:00,
62,departure,SK739,,,,SAS,,2023-11-09 18:00:00,Stockholm
60,arrival,X98702,,,,Avion Express,Hurghada,2023-11-09 18:10:00,
62,arrival,AY1105,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-09 18:15:00,
61,arrival,BT922,,,,Air Baltic,Berlin,2023-11-09 18:15:00,
63,arrival,LO775,,,,LOT,Warsaw,2023-11-09 18:30:00,
63,departure,AY1106,,ATR 72-500,Finland,Finnair,,2023-11-09 18:40:00,Helsinki
64,arrival,FR8366,,,,Ryanair,Turin,2023-11-09 18:55:00,
65,arrival,TK1409,,,,Turkish Airlines,Istanbul,2023-11-09 19:05:00,
64,departure,LO776,,,,LOT,,2023-11-09 19:10:00,Warsaw
65,departure,FR8365,,,,Ryanair,,2023-11-09 19:20:00,Turin
66,arrival,BT906,,,,Air Baltic,Tallinn,2023-11-09 19:30:00,
66,departure,TK1410,,,,Turkish Airlines,,2023-11-09 20:00:00,Istanbul
67,departure,BT905,,,,Air Baltic,,2023-11-09 20:10:00,Tallinn
67,arrival,BT347,,,,Air Baltic,Riga,2023-11-09 20:40:00,
68,arrival,AY1107,,ATR 72-500,Finland,Finnair,Helsinki,2023-11-09 20:50:00,
68,departure,AY1108,,ATR 72-500,Finland,Finnair,,2023-11-09 21:15:00,Helsinki
69,departure,BT348,,,,Air Baltic,,2023-11-09 21:20:00,Riga
69,arrival,SK1740,,,,SAS,Stockholm,2023-11-09 21:30:00,
70,arrival,BT926,,,,Air Baltic,Munich,2023-11-09 22:00:00,
71,arrival,W68022,,,,Wizz Air,Paris,2023-11-09 22:25:00,
72,arrival,TK6307,,,,Turkish Airlines,Bucharest,2023-11-09 22:40:00,
74,arrival,W68084,,,,Wizz Air,Malaga,2023-11-09 23:15:00,
73,arrival,LO274,,,,LOT,London,2023-11-09 23:15:00,
75,arrival,SK742,,,,SAS,Copenhagen,2023-11-09 23:35:00,
76,arrival,LH888,,,,Lufthansa,Frankfurt,2023-11-09 23:45:00,
77,arrival,FR1786,,,,Ryanair,Barcelona,2023-11-09 23:55:00,
78,arrival,BT349,,,,Air Baltic,Riga,2023-11-09 23:59:00,
70,departure,TK6307,,,,Turkish Airlines,,2023-11-10 00:40:00,Istanbul
79,arrival,LO773,,,,LOT,Warsaw,2023-11-10 01:00:00,
